Inhibitor	Direction	Deletion
559	2Methylimidazole	up	YOL106W
560	2Methylimidazole	up	YKL102C
561	2Methylimidazole	up	YGL262W
562	2Methylimidazole	up	YLR267W
563	2Methylimidazole	up	YJL101C
564	2Methylimidazole	up	YDR372C
565	2Methylimidazole	up	YIL155C
566	2Methylimidazole	up	YDR525W-A
567	2Methylimidazole	up	YKL116C
568	2Methylimidazole	up	YDR431W
569	2Methylimidazole	up	YOL035C
570	2Methylimidazole	up	YGR058W
571	2Methylimidazole	up	YPR174C
572	2Methylimidazole	up	YOR015W
573	2Methylimidazole	up	YOL087C
574	2Methylimidazole	up	YNL254C
575	2Methylimidazole	up	YNL171C
576	2Methylimidazole	up	YJL204C
577	2Methylimidazole	up	YLR374C
578	2Methylimidazole	up	YKL065C
579	2Methylimidazole	up	YOR111W
580	2Methylimidazole	up	YGR279C
581	2Methylimidazole	up	YLL019C
582	2Methylimidazole	up	YNL314W
583	2Methylimidazole	up	YNL070W
584	2Methylimidazole	up	YAL013W
585	2Methylimidazole	up	YNL031C
586	2Methylimidazole	up	YFL044C
587	2Methylimidazole	up	YLR377C
588	2Methylimidazole	up	YER060W-A
589	2Methylimidazole	up	YCL063W
590	2Methylimidazole	up	YBR090C-A
591	2Methylimidazole	up	YNL153C
592	2Methylimidazole	up	YLR266C
593	2Methylimidazole	up	YPL189W
594	2Methylimidazole	up	YOR029W
595	2Methylimidazole	up	YDR421W
596	2Methylimidazole	up	YBL032W
597	2Methylimidazole	up	YDL119C
598	2Methylimidazole	up	YGR049W
599	2Methylimidazole	up	YBR090C
600	2Methylimidazole	up	YFR056C
601	45Methylimidazole	up	YLL025W
602	45Methylimidazole	up	YKR097W
603	45Methylimidazole	up	YOR121C
604	45Methylimidazole	up	YMR272C
605	45Methylimidazole	up	YNL223W
606	45Methylimidazole	up	YGR149W
607	45Methylimidazole	up	YLR262C
608	45Methylimidazole	up	YNL278W
609	45Methylimidazole	up	YBR130C
610	45Methylimidazole	up	YBR056W
611	45Methylimidazole	up	YIL028W
612	45Methylimidazole	up	YLR187W
613	45Methylimidazole	up	YMR031W-A
614	45Methylimidazole	up	YJR053W
615	45Methylimidazole	up	YML106W
616	45Methylimidazole	up	YLR094C
617	45Methylimidazole	up	YMR303C
618	45Methylimidazole	up	YPR172W
619	45Methylimidazole	up	YDR055W
620	45Methylimidazole	up	YDR285W
621	45Methylimidazole	up	YOL160W
622	45Methylimidazole	up	YDL019C
623	45Methylimidazole	up	YJL149W
624	45Methylimidazole	up	YNL196C
625	45Methylimidazole	up	YLR057W
626	45Methylimidazole	up	YLR281C
627	45Methylimidazole	up	YBR293W
